vocabulary,varient_of,pronounication,meaning,language,ethnicity,nationality,religion,gender,sexual_orientation,disability,class,archaic,offensiveness,num_revision,num_variants,variants,num_citing,last_citing,num_citations
abbo,abo,{},"Australian Aboriginal person. Originally, this was simply an informal term for Aborigine, and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas, Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many, the pejorative boong is now more commonly used when the intent is to deliberately offend, as that word's status as an insult is unequivocal.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
ABC,{},{},[1] American-born Chinese [2] Australian-born Chinese,eng,1,1,0,0,0,0,0,0,0.33,1,0,{},0,{},1
ABCD,{},{},"American-Born Confused Desi, Indian Americans, Pakistani Americans or other South Asians, (desi) who were born in the United States. Used chiefly by South Asian immigrants to imply confusion about cultural identity.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
abo,{},{},"Australian Aboriginal person. Originally, this was simply an informal term for Aborigine, and was in fact used by Aboriginal people themselves until it started to be considered offensive in the 1950s. In remoter areas, Aboriginal people still often refer to themselves (quite neutrally) as Blackfellas (and whites as Whitefellas). Although Abo is still considered quite offensive by many, the pejorative boong is now more commonly used when the intent is to deliberately offend, as that word's status as an insult is unequivocal.",eng,1,0,0,0,0,0,0,0,0,0,1,abbo,0,{},0
af,{},{},"An African, used by white Rhodesians.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
African catfish,{},{},Referring to Muslims in Myanmar as an invasive species,eng,1,0,1,0,0,0,0,0,0.62,3,0,{},22,4/17/17 18:44,1
Africoon,{},{},Combination of African and 'coon'.,eng,1,0,0,0,0,0,0,0,0.5,1,0,{},70,5/5/17 13:11,1
Afro-Saxon,{},{},Caucasian person who 'acts black',eng,1,0,0,0,0,0,0,0,0,1,0,{},44,4/12/17 9:01,1
albino,{},{},A Caucasian person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},1,4/8/13 0:00,0
alligator bait,{},{},"A black person, especially a black child. More commonly used in states where alligators are found, particularly Florida. First used in the early 20th century, although some hypothesize the term originated in the late 19th century.",eng,1,0,0,0,0,0,0,0,1,0,1,gator bait,1409,5/14/17 17:28,0
Americoon,{},{},Combination of American and 'coon',eng,1,0,0,0,0,0,0,0,1,1,0,{},33,9/6/16 15:56,0
Amo,{},{},An Amish person.,eng,0,0,1,0,0,0,0,0,0,0,0,{},17,4/27/17 23:19,0
anchor baby,{},{},"A child of illegal immigrants, particularly in the United States, from the notion of dropping an anchor for other family members to acquire citizenship",eng,1,0,0,0,0,0,0,0,0.33,1,0,{},2560,5/14/17 2:50,1
Angie,{},{},"Used in Quebec to denote English-speaking Canadians, from 'Anglophone'.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
Anglo,{},{},"A Caucasian, particularly an American",eng,1,0,0,0,0,0,0,0,0.03,1,0,{},0,{},1
Ann,{},{},"A white woman to a black person, or a black woman who acts too much like a white one. While Miss Ann, also just plain Ann, is a derisive reference to the white woman, by extension it is applied to any black woman who puts on airs and tries to act like Miss Ann.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
ape,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0.56,0,0,{},1,5/26/13 1:13,0
apple,{},{},"An American Indian (Native American) who is 'red on the outside, white on the inside.' Used primarily by other American Indians to indicate someone who has lost touch with their cultural identity. First used in the 1980s.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
Argie,{},{},An Argentinian.,eng,0,1,0,0,0,0,0,0,0.03,1,0,{},504,5/13/17 22:35,1
Armo,{},{},A person of Armenian descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},9,3/18/16 6:26,0
Aunt Jane,Aunt Jemima,{},"A black woman who 'kisses up' to white people, a 'sellout,' female counterpart of Uncle Tom.",eng,1,0,0,0,0,0,0,0,0,1,0,{},0,{},0
Aunt Jemima,{},{},"A black woman who 'kisses up' to white people, a 'sellout,' female counterpart of Uncle Tom.",eng,1,0,0,0,0,0,0,0,0,1,3,Aunt Jane; Aunt Mary; Aunt Sally,1,3/17/13 0:00,1
Aunt Mary,Aunt Jemima,{},"A black woman who 'kisses up' to white people, a 'sellout,' female counterpart of Uncle Tom.",eng,1,0,0,0,0,0,0,0,0,1,0,{},0,{},0
Aunt Sally,Aunt Jemima,{},"A black woman who 'kisses up' to white people, a 'sellout,' female counterpart of Uncle Tom.",eng,1,0,0,0,0,0,0,0,0,1,0,{},0,{},0
azn,{},{},Abbreviation for 'asian',eng,1,0,0,0,0,0,0,0,0,1,0,{},0,{},1
bamboo coon,{},{},A person of Chinese ancestry,eng,1,1,0,0,0,0,0,0,0.93,1,0,{},4,10/26/16 18:04,0
banana,{},{},"An Asian-American who has lost their heritage. Yellow on the outside, white on the inside.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
banana bender,{},{},An Australian from Queensland,eng,0,1,0,0,0,0,0,0,0.05,1,1,banana lander,214,5/11/17 2:38,0
banana lander,banana bender,{},An Australian from Queensland,eng,0,1,0,0,0,0,0,0,0,1,0,{},0,{},0
banjo lips,{},{},An African-American,eng,1,0,0,0,0,0,0,0,0.07,1,0,{},37,5/13/17 2:15,0
bans and cans,{},{},"Mexicans, Puerto Ricans and Cubans.",eng,1,1,0,0,0,0,0,0,0.13,0,0,{},0,{},0
beach nigger,{},{},An overly tanned Caucasian,eng,1,0,0,0,0,0,0,0,0.5,1,0,{},6,12/2/16 7:38,0
bean dipper,{},{},A non-hispanic person who dates hispanic women,eng,1,0,0,0,0,0,0,0,0,1,0,{},9,3/3/17 22:55,0
beaner,{},{},"People of Mexican descent or, more specifically, mestizos of Central American descent. The term originates from the use of frijoles pintos and other beans in Mexican food.",eng,1,0,0,0,0,0,0,0,0.29,0,1,beaney,1144,5/14/17 17:07,1
beaner shnitzel,{},{},Offspring of a hispanic parent and a German parent,eng,1,1,0,0,0,0,0,0,0.33,1,0,{},0,{},0
beaney,beaner,{},"People of Mexican descent or, more specifically, mestizos of Central American descent. The term originates from the use of frijoles pintos and other beans in Mexican food.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
Bengali,{},{},"This is not hate speech when applied to a Bengali citizen or inhabitant of Bangladesh, but is used by Myanmar Buddhists to foment hate and exclusion from citizenship of Muslims. Calling them ""Bengali"" indicates they should be eliminated from Myanmar.",eng,1,1,1,0,0,0,0,0,0,2,0,{},0,{},1
bhrempti,{},{},"An Indian, based on the perceived pronunciation of 'twenty'.",eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
bint,bitch,{},A human female,eng,0,0,0,1,0,0,0,0,0.07,2,0,{},249,4/29/17 4:38,1
bird,{},{},"In the UK, derogatory word for woman",eng,0,0,0,1,0,0,0,0,0.06,2,0,{},0,{},0
bitch,{},{},A human female,eng,0,0,0,1,0,0,0,0,0,3,1,bint,5,5/31/13 4:59,1
bitter clinger,{},{},one who clings to their guns and religions,eng,0,0,0,0,0,0,1,0,0.52,1,0,{},0,{},1
bix nood,{},{},An African-American,eng,1,0,0,0,0,0,0,0,0.24,1,0,{},679,5/10/17 13:10,0
black Barbie,{},{},A black woman when she wears her hair and makeup to try and look like a white woman.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
black dago,{},{},[1] A Sicilian [2] A darker-skinned Italian [3] An Italian of allegedly African ancestry,eng,1,1,0,0,0,0,0,0,1,1,0,{},0,{},2
blaxican,{},{},A person of mixed Mexican and African ancestry,eng,1,1,0,0,0,0,0,0,0,1,0,{},113,5/8/17 2:37,0
